Time [us],Protocol,Packet Length (Layer 3) [Byte]
4679,IEC 60870-5 ASDU,292
4680,IEC 60870-5 ASDU,252
46358,TCP,46
114539,IEC 60870-5 ASDU,292
114539,IEC 60870-5 ASDU,252
204722,IEC 60870-5 ASDU,292
204723,IEC 60870-5 ASDU,252
304393,IEC 60870-5 ASDU,292
304394,IEC 60870-5 ASDU,252
413853,IEC 60870-5 ASDU,292
413854,IEC 60870-5 ASDU,252
446695,TCP,46
504716,IEC 60870-5 ASDU,292
504717,IEC 60870-5 ASDU,252
604489,IEC 60870-5 ASDU,292
604489,IEC 60870-5 ASDU,252
704589,IEC 60870-5 ASDU,292
704590,IEC 60870-5 ASDU,252
804164,IEC 60870-5 ASDU,292
804164,IEC 60870-5 ASDU,252
864727,TCP,46
904692,IEC 60870-5 ASDU,292
904693,IEC 60870-5 ASDU,252
1004404,IEC 60870-5 ASDU,292
1004405,IEC 60870-5 ASDU,252
1104793,IEC 60870-5 ASDU,292
1104794,IEC 60870-5 ASDU,252
1204786,IEC 60870-5 ASDU,292
1204787,IEC 60870-5 ASDU,252
1304474,IEC 60870-5 ASDU,292
1304475,IEC 60870-5 ASDU,252
1404520,IEC 60870-5 ASDU,292
1404522,IEC 60870-5 ASDU,252
1504773,IEC 60870-5 ASDU,292
1504774,IEC 60870-5 ASDU,252
1604456,IEC 60870-5 ASDU,292
1604456,IEC 60870-5 ASDU,252
1686268,TCP,46
1694799,IEC 60870-5 ASDU,292
1694801,IEC 60870-5 ASDU,252
1804538,IEC 60870-5 ASDU,292
1804539,IEC 60870-5 ASDU,252
1904744,IEC 60870-5 ASDU,292
1904745,IEC 60870-5 ASDU,252
2004754,IEC 60870-5 ASDU,292
2004754,IEC 60870-5 ASDU,252
2046779,TCP,46
2104591,IEC 60870-5 ASDU,292
2104592,IEC 60870-5 ASDU,252
2204661,IEC 60870-5 ASDU,292
2204663,IEC 60870-5 ASDU,252
2304396,IEC 60870-5 ASDU,292
2304396,IEC 60870-5 ASDU,252
2404416,IEC 60870-5 ASDU,292
2404417,IEC 60870-5 ASDU,252
2466173,TCP,46
2504020,IEC 60870-5 ASDU,292
2504021,IEC 60870-5 ASDU,252
2604729,IEC 60870-5 ASDU,292
2604729,IEC 60870-5 ASDU,252
2704385,IEC 60870-5 ASDU,292
2704386,IEC 60870-5 ASDU,252
2804484,IEC 60870-5 ASDU,292
2804485,IEC 60870-5 ASDU,252
2896411,TCP,46
2904647,IEC 60870-5 ASDU,292
2904647,IEC 60870-5 ASDU,252
3014575,IEC 60870-5 ASDU,292
3014575,IEC 60870-5 ASDU,252
3104668,IEC 60870-5 ASDU,292
3104670,IEC 60870-5 ASDU,252
3204487,IEC 60870-5 ASDU,292
3204488,IEC 60870-5 ASDU,252
3252336,TCP,46
3304370,IEC 60870-5 ASDU,292
3304370,IEC 60870-5 ASDU,252
3414665,IEC 60870-5 ASDU,292
3414666,IEC 60870-5 ASDU,252
3504341,IEC 60870-5 ASDU,292
3504343,IEC 60870-5 ASDU,252
3604507,IEC 60870-5 ASDU,292
3604507,IEC 60870-5 ASDU,252
3696624,TCP,46
3704408,IEC 60870-5 ASDU,292
3704409,IEC 60870-5 ASDU,252
3804199,IEC 60870-5 ASDU,292
3804201,IEC 60870-5 ASDU,252
3904205,IEC 60870-5 ASDU,292
3904205,IEC 60870-5 ASDU,252
4004289,IEC 60870-5 ASDU,292
4004290,IEC 60870-5 ASDU,252
4046274,TCP,46
4104380,IEC 60870-5 ASDU,292
4104381,IEC 60870-5 ASDU,252
4204001,IEC 60870-5 ASDU,292
4204002,IEC 60870-5 ASDU,252
4314349,IEC 60870-5 ASDU,292
4314350,IEC 60870-5 ASDU,252
4404301,IEC 60870-5 ASDU,292
4404302,IEC 60870-5 ASDU,252
4446068,TCP,46
4504288,IEC 60870-5 ASDU,292
4504289,IEC 60870-5 ASDU,252
4603925,IEC 60870-5 ASDU,292
4603925,IEC 60870-5 ASDU,252
4714455,IEC 60870-5 ASDU,292
4714455,IEC 60870-5 ASDU,252
4804042,IEC 60870-5 ASDU,292
4804043,IEC 60870-5 ASDU,252
4856242,TCP,46
4904311,IEC 60870-5 ASDU,292
4904312,IEC 60870-5 ASDU,252
4994441,IEC 60870-5 ASDU,292
4994443,IEC 60870-5 ASDU,252
5104264,IEC 60870-5 ASDU,292
5104265,IEC 60870-5 ASDU,252
